Sample	bcbio_mqc-generalstats-bcbio-Total_reads	bcbio_mqc-generalstats-bcbio-Mapped_reads	bcbio_mqc-generalstats-bcbio-RiP_pct	bcbio_mqc-generalstats-bcbio-Average_insert_size	bcbio_mqc-generalstats-bcbio-PBC1	bcbio_mqc-generalstats-bcbio-PBC2	bcbio_mqc-generalstats-bcbio-bottlenecking	bcbio_mqc-generalstats-bcbio-NRF	bcbio_mqc-generalstats-bcbio-complexity	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Kras_colon_rep1	320111836.0	176508124.0	14.102	174.7	0.8358196716173775	6.080267713726711	moderate	0.8337098243989888	acceptable	0.002806553	0.0	176508124.0	55.13951817764089	52.42543733996765	6.993381525574081	320111836.0	13.75879999989641	44.0	51.0	9.090909090909092	18152142.0
Kras_colon_rep2	260982020.0	146597593.0	14.799	169.6	0.8652856113736178	7.43531989818833	moderate	0.8627729717074198	acceptable	0.003350338	0.0	146597593.0	56.171529747528204	53.302962403310396	6.916960026594936	260982020.0	13.651089419542359	44.0	51.0	9.090909090909092	17794816.0
Kras_colon_rep3	293158978.0	141148610.0	14.847	182.1	0.8428076812357568	6.3975996636757655	moderate	0.8391588904439827	acceptable	0.002829706	0.0	141148610.0	48.14746284181684	45.48583328735714	5.957429009730004	293158978.0	17.455258974594116	43.0	51.0	9.090909090909092	20760782.0
Kras_tumor_rep1	286045264.0	246862883.0	29.333	155.1	0.8589017541591936	7.135625419510905	moderate	0.8530782783344982	acceptable	0.003053268	0.0	246862883.0	86.30203470175266	81.58857124094877	8.896219655641632	286045264.0	9.956856195949541	48.0	51.0	9.090909090909092	11580112.0
Kras_tumor_rep2	336934818.0	288198231.0	34.502	154.6	0.8491892023460884	6.7000736669418295	moderate	0.8413778252027707	acceptable	0.00301663	0.0	288198231.0	85.53530701003422	80.92784640618531	8.265316765214807	336934818.0	8.894259729625205	49.0	51.0	9.090909090909092	11686440.0
Kras_tumor_rep3	414299040.0	363581796.0	35.857	169.9	0.8380276185364934	6.2432065015674425	moderate	0.8308521038743174	acceptable	0.002807337	0.0	363581796.0	87.7583003812898	83.74545352555005	8.789478488774678	414299040.0	9.708724543124816	48.0	51.0	9.090909090909092	11387136.0
WT_colon_rep1	276701502.0	227019860.0	30.944	147.9	0.8673650217576333	7.631435568867669	moderate	0.8627002675391785	acceptable	0.003898511	0.0	227019860.0	82.04504072406516	77.51146215317617	8.102713515447416	276701502.0	10.699552100063698	48.0	51.0	9.090909090909092	12169546.0
WT_colon_rep2	312042062.0	234343093.0	29.335	149.0	0.8442393975807002	6.50935649086675	moderate	0.8376317169788365	acceptable	0.00290726	0.0	234343093.0	75.09984118743581	70.3092802918345	7.094979073686547	312042062.0	11.559181532970598	48.0	51.0	9.090909090909092	13323556.0
WT_colon_rep3	321328160.0	243042679.0	27.807	181.7	0.8323776520065167	5.988866561594107	moderate	0.8295082873808698	acceptable	0.002839519	0.0	243042679.0	75.63690620828253	71.19702176118022	8.251947790694722	321328160.0	16.629457298096057	46.0	51.0	9.090909090909092	13204214.0
WT_tumor_rep1	367718684.0	310136522.0	38.84	161.4	0.8430743324550334	6.5278982722927585	moderate	0.8170087785690625	acceptable	0.002975232	0.0	310136522.0	84.34070268781882	80.26261129554135	7.958833280280096	367718684.0	9.477291046275312	50.0	51.0	9.090909090909092	11836256.0
WT_tumor_rep2	359687924.0	233709654.0	25.399	137.2	0.8535865918481133	6.908593141207881	moderate	0.8431695436584044	acceptable	0.002940976	0.0	233709654.0	64.9756743014814	61.21889207489768	6.428108773537808	359687924.0	9.38094200154292	48.0	51.0	9.090909090909092	15380164.0
WT_tumor_rep3	307352874.0	244425822.0	35.283	151.0	0.8616901369169547	7.36986723673152	moderate	0.8443911872072561	acceptable	0.003040954	0.0	244425822.0	79.52612214714479	75.346621941788	7.416414463070874	307352874.0	8.54159429238996	49.0	51.0	9.090909090909092	12579906.0
